E-id,Archival_Culture_Name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Notes
113,JIVARO,1,2,1,5,3,10,11,1,4,0,2,2,
114,JIVARO,1,4,3,5,3,10,11,9,3,5,13,3,
115,JIVARO,1,4,0,0,2,1,9,0,1,6,6,1,
493,KAZAK,1,1,1,5,3,5,15,16,2,2,1,1,
494,KAZAK,1,1,2,5,3,5,15,16,2,2,1,1,
495,KAZAK,1,1,1,5,3,5,15,16,2,2,1,1,
496,KAZAK,1,1,1,5,4,5,15,16,2,2,1,1,
301,KERALA,1,2,1,0,2,1,12,0,0,1,1,1,
302,KERALA,1,1,1,0,3,12,10,1,0,1,4,1,
303,KERALA,1,2,1,5,2,12,1,0,3,6,6,5,
304,KERALA,1,2,1,5,2,1,12,0,3,2,1,1,
305,KERALA,1,2,2,0,3,2,1,10,2,6,3,3,
306,KERALA,1,2,1,5,3,10,11,16,2,6,4,4,
788,KERALA,4,1,1,5,2,1,12,0,4,0,8,5,
789,KERALA,1,1,1,5,3,13,10,16,1,3,4,4,
790,KERALA,1,2,1,5,2,1,12,0,2,2,5,5,
791,KERALA,1,2,1,5,1,1,0,0,1,2,3,3,
792,KERALA,1,2,1,5,1,10,0,0,2,5,8,1,
793,KERALA,1,2,1,5,2,16,15,0,1,4,3,2,
794,KERALA,1,2,1,5,1,12,0,0,0,1,4,2,
649,KOREA,1,2,1,5,2,16,14,0,0,1,16,9,
650,KOREA,1,1,2,5,1,16,0,0,1,2,2,2,
651,KOREA,1,1,1,5,1,16,0,0,1,6,1,1,
652,KOREA,1,1,1,5,2,16,10,0,1,2,1,1,
653,KOREA,1,1,1,5,1,16,0,0,1,2,3,3,
773,KOREA,1,2,1,5,1,16,0,0,0,1,6,5,
599,KRAHOCANEL,1,1,1,5,3,12,11,3,1,5,4,1,
600,KRAHOCANEL,1,1,1,5,2,3,12,0,1,5,16,4,
601,KRAHOCANEL,1,1,3,0,2,12,1,11,1,5,15,1,
602,KRAHOCANEL,1,1,1,5,1,10,0,0,1,5,4,2,
